2026-05-22T10:51:55.566-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Secured GET /api/reportes/metricas
2026-05-22T10:51:55.566-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Secured GET /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:51:55.577-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Securing GET /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:51:55.579-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Secured GET /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:51:55.586-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Securing GET /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:51:55.588-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Securing GET /api/reportes/metricas
2026-05-22T10:51:55.589-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Secured GET /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:51:55.591-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Secured GET /api/reportes/metricas
2026-05-22T10:51:55.610-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Securing GET /api/reportes/metricas
2026-05-22T10:51:55.613-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Secured GET /api/reportes/metricas
2026-05-22T10:52:20.201-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Securing OPTIONS /auth/me
2026-05-22T10:52:20.201-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Securing OPTIONS /auth/me
2026-05-22T10:52:20.201-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Securing GET /auth/me
2026-05-22T10:52:20.201-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Securing GET /auth/me
2026-05-22T10:52:20.201-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Secured GET /auth/me
2026-05-22T10:52:20.201-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Secured GET /auth/me
2026-05-22T10:52:20.398-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:52:20.398-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/reportes/metricas
2026-05-22T10:52:20.405-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/reportes/metricas
2026-05-22T10:52:20.405-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:52:20.405-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Securing GET /api/reportes/metricas
